nta2020,permit_type,permit_type_count
BK0101,Alteration,22
BK0101,Construction Equipment,4
BK0101,Foundation,8
BK0101,New Building,26
BK0101,Plumbing,19
BK0102,Alteration,30
BK0102,Construction Equipment,15
BK0102,Foundation,28
BK0102,New Building,23
BK0102,Plumbing,25
BK0103,Alteration,4
BK0103,Construction Equipment,6
BK0103,New Building,7
BK0103,Plumbing,2
BK0104,Alteration,22
BK0104,Construction Equipment,6
BK0104,Foundation,16
BK0104,New Building,30
BK0104,Plumbing,17
BK0201,Alteration,10
BK0201,Foundation,4
BK0202,Alteration,13
BK0202,Construction Equipment,9
BK0202,Foundation,16
BK0202,New Building,19
BK0202,Plumbing,10
BK0203,Alteration,11
BK0203,Construction Equipment,2
BK0203,Foundation,2
BK0203,New Building,7
BK0203,Plumbing,12
BK0204,Alteration,16
BK0204,Construction Equipment,1
BK0204,New Building,7
BK0204,Plumbing,12
BK0301,Alteration,25
BK0301,Construction Equipment,9
BK0301,Equipment Work,1
BK0301,Foundation,41
BK0301,New Building,35
BK0301,Plumbing,23
BK0302,Alteration,27
BK0302,Construction Equipment,2
BK0302,Foundation,24
BK0302,New Building,27
BK0302,Plumbing,18
BK0401,Alteration,12
BK0401,Construction Equipment,4
BK0401,Foundation,13
BK0401,New Building,16
BK0401,Plumbing,13
BK0402,Alteration,13
BK0402,Construction Equipment,6
BK0402,Foundation,13
BK0402,New Building,14
BK0402,Plumbing,14
BK0501,Alteration,2
BK0501,Foundation,3
BK0501,New Building,8
BK0501,Plumbing,8
BK0502,Alteration,5
BK0502,Construction Equipment,1
BK0502,Foundation,2
BK0502,New Building,10
BK0502,Plumbing,8
BK0503,Alteration,8
BK0503,Construction Equipment,3
BK0503,New Building,8
BK0503,Plumbing,7
BK0504,Foundation,42
BK0504,New Building,36
BK0505,New Building,4
BK0505,Plumbing,4
BK0601,Alteration,39
BK0601,Construction Equipment,7
BK0601,Foundation,6
BK0601,New Building,16
BK0601,Plumbing,30
BK0602,Alteration,14
BK0602,Construction Equipment,2
BK0602,Foundation,4
BK0602,New Building,8
BK0602,Plumbing,13
BK0701,Alteration,4
BK0701,Construction Equipment,1
BK0701,Foundation,2
BK0701,New Building,2
BK0702,Alteration,19
BK0702,Construction Equipment,10
BK0702,Foundation,12
BK0702,New Building,21
BK0702,Plumbing,19
BK0703,Alteration,9
BK0703,Construction Equipment,2
BK0703,New Building,7
BK0703,Plumbing,9
BK0801,Alteration,9
BK0801,Construction Equipment,1
BK0801,Foundation,4
BK0801,New Building,2
BK0801,Plumbing,9
BK0802,Alteration,22
BK0802,Construction Equipment,3
BK0802,Foundation,2
BK0802,New Building,14
BK0802,Plumbing,18
BK0901,Alteration,5
BK0901,Construction Equipment,1
BK0901,Foundation,2
BK0901,New Building,3
BK0901,Plumbing,3
BK0902,Alteration,3
BK0902,Foundation,3
BK0902,New Building,8
BK0902,Plumbing,2
BK1001,Alteration,14
BK1001,Construction Equipment,5
BK1001,Foundation,2
BK1001,New Building,7
BK1001,Plumbing,10
BK1002,Alteration,2
BK1002,Construction Equipment,3
BK1002,Foundation,1
BK1002,New Building,9
BK1002,Plumbing,6
BK1101,Alteration,12
BK1101,Construction Equipment,1
BK1101,Foundation,5
BK1101,New Building,8
BK1101,Plumbing,5
BK1102,Alteration,6
BK1102,Construction Equipment,1
BK1102,Foundation,2
BK1102,New Building,7
BK1102,Plumbing,2
BK1103,Alteration,2
BK1103,Construction Equipment,3
BK1103,Foundation,2
BK1103,New Building,5
BK1103,Plumbing,7
BK1201,Alteration,9
BK1201,Construction Equipment,3
BK1201,Foundation,2
BK1201,New Building,8
BK1201,Plumbing,8
BK1202,Alteration,19
BK1202,Construction Equipment,10
BK1202,Foundation,3
BK1202,New Building,31
BK1202,Plumbing,20
BK1203,Alteration,2
BK1203,Construction Equipment,4
BK1203,New Building,4
BK1203,Plumbing,5
BK1204,Alteration,13
BK1204,Construction Equipment,5
BK1204,Foundation,6
BK1204,New Building,11
BK1204,Plumbing,11
BK1301,Alteration,1
BK1301,Construction Equipment,1
BK1301,Foundation,3
BK1301,New Building,3
BK1301,Plumbing,3
BK1302,Alteration,11
BK1302,Construction Equipment,9
BK1302,Foundation,17
BK1302,New Building,17
BK1302,Plumbing,20
BK1303,Alteration,4
BK1303,Construction Equipment,2
BK1303,Foundation,5
BK1303,New Building,4
BK1303,Plumbing,1
BK1391,New Building,1
BK1401,Alteration,6
BK1401,Construction Equipment,3
BK1401,Foundation,3
BK1401,New Building,8
BK1401,Plumbing,5
BK1402,Alteration,5
BK1402,Foundation,2
BK1402,New Building,4
BK1402,Plumbing,2
BK1403,Alteration,13
BK1403,Construction Equipment,2
BK1403,Foundation,2
BK1403,New Building,2
BK1403,Plumbing,9
BK1501,Alteration,28
BK1501,Construction Equipment,7
BK1501,Foundation,5
BK1501,New Building,10
BK1501,Plumbing,18
BK1502,Alteration,5
BK1502,Construction Equipment,4
BK1502,Foundation,1
BK1502,New Building,3
BK1502,Plumbing,1
BK1503,Alteration,15
BK1503,Construction Equipment,5
BK1503,Foundation,6
BK1503,New Building,8
BK1503,Plumbing,12
BK1601,Alteration,4
BK1601,Construction Equipment,1
BK1601,Foundation,8
BK1601,New Building,19
BK1601,Plumbing,6
BK1602,Alteration,6
BK1602,Construction Equipment,4
BK1602,Foundation,12
BK1602,New Building,22
BK1602,Plumbing,4
BK1701,Alteration,6
BK1701,Construction Equipment,5
BK1701,Foundation,6
BK1701,New Building,11
BK1701,Plumbing,7
BK1702,Alteration,2
BK1702,Foundation,6
BK1702,New Building,11
BK1703,Alteration,4
BK1703,Construction Equipment,1
BK1703,New Building,1
BK1703,Plumbing,1
BK1704,Alteration,2
BK1704,New Building,2
BK1704,Plumbing,2
BK1801,Alteration,6
BK1801,Foundation,4
BK1801,New Building,2
BK1801,Plumbing,2
BK1802,Alteration,14
BK1802,Construction Equipment,4
BK1802,New Building,6
BK1802,Plumbing,13
BK1803,Alteration,7
BK1803,Construction Equipment,3
BK1803,Foundation,2
BK1803,New Building,2
BK1803,Plumbing,3
BK1892,Alteration,1
BK1893,New Building,3
BK1893,Plumbing,1
BX0101,Alteration,8
BX0101,Foundation,13
BX0101,New Building,5
BX0101,Plumbing,5
BX0102,Alteration,2
BX0102,Construction Equipment,1
BX0102,Foundation,9
BX0102,New Building,13
BX0102,Plumbing,4
BX0201,Alteration,3
BX0201,Foundation,16
BX0201,New Building,7
BX0201,Plumbing,2
BX0202,Alteration,12
BX0202,Foundation,2
BX0202,New Building,6
BX0202,Plumbing,6
BX0301,Alteration,5
BX0301,Foundation,6
BX0301,New Building,9
BX0302,Alteration,1
BX0302,Construction Equipment,1
BX0302,New Building,1
BX0302,Plumbing,1
BX0303,Alteration,1
BX0303,Construction Equipment,2
BX0303,Foundation,4
BX0303,New Building,7
BX0303,Plumbing,4
BX0401,Alteration,4
BX0401,Construction Equipment,2
BX0401,Foundation,10
BX0401,New Building,8
BX0401,Plumbing,5
BX0402,Alteration,2
BX0402,Foundation,2
BX0402,New Building,3
BX0402,Plumbing,2
BX0403,Alteration,1
BX0403,Foundation,4
BX0403,New Building,4
BX0403,Plumbing,5
BX0501,Alteration,2
BX0501,Foundation,2
BX0501,New Building,6
BX0501,Plumbing,6
BX0502,Alteration,3
BX0502,Foundation,7
BX0502,New Building,11
BX0502,Plumbing,6
BX0503,Alteration,1
BX0503,Foundation,1
BX0503,New Building,3
BX0503,Plumbing,2
BX0601,Alteration,2
BX0601,Foundation,2
BX0601,New Building,4
BX0602,Alteration,10
BX0602,Construction Equipment,1
BX0602,Foundation,7
BX0602,New Building,7
BX0602,Plumbing,5
BX0603,Alteration,5
BX0603,Construction Equipment,2
BX0603,Foundation,3
BX0603,New Building,14
BX0603,Plumbing,7
BX0701,Alteration,6
BX0701,Construction Equipment,1
BX0701,New Building,4
BX0701,Plumbing,3
BX0702,Alteration,1
BX0702,Construction Equipment,1
BX0702,Foundation,11
BX0702,New Building,24
BX0702,Plumbing,5
BX0703,Alteration,3
BX0703,Foundation,4
BX0703,New Building,5
BX0801,Alteration,1
BX0801,Construction Equipment,3
BX0801,Foundation,4
BX0801,New Building,7
BX0801,Plumbing,2
BX0802,Alteration,2
BX0802,Construction Equipment,2
BX0802,New Building,2
BX0802,Plumbing,2
BX0803,Alteration,12
BX0803,Construction Equipment,3
BX0803,Foundation,3
BX0803,New Building,5
BX0803,Plumbing,9
BX0901,Alteration,6
BX0901,Construction Equipment,1
BX0901,Equipment Work,1
BX0901,Foundation,2
BX0901,New Building,4
BX0901,Plumbing,5
BX0902,Alteration,1
BX0902,Construction Equipment,1
BX0902,Foundation,22
BX0902,New Building,12
BX0903,Alteration,2
BX0903,Foundation,1
BX0903,New Building,6
BX0903,Plumbing,9
BX0904,Construction Equipment,2
BX0904,Foundation,2
BX0904,New Building,4
BX0904,Plumbing,1
BX1001,Alteration,2
BX1001,Foundation,2
BX1001,New Building,1
BX1002,Alteration,9
BX1002,Construction Equipment,1
BX1002,Foundation,4
BX1002,New Building,5
BX1002,Plumbing,5
BX1003,Alteration,4
BX1003,Construction Equipment,4
BX1003,New Building,2
BX1003,Plumbing,6
BX1004,Foundation,2
BX1004,New Building,1
BX1101,Alteration,2
BX1101,Foundation,7
BX1101,New Building,6
BX1101,Plumbing,2
BX1102,Alteration,3
BX1102,Foundation,3
